ID,Page,Section heading,Category,Theorem level,Finding type,Severity,First-principles resolution,Probe machine-check status,Inscribed location,Physical insight
1,1,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,"Trace map J(f) = Tr f(φ_1, φ_2) forced by three independent constraints: (1) adjacent-swap exactness Tr(uφ_1φ_2v)-Tr(uφ_2φ_1v) = Q Tr(ψvu), making J well-defined on the derived stack [μ⁻¹_der(0)/GL_N]; (2) Procesi-Razmyslov stable invariants C[Mat(N)^⊕2]^{GL_N} = ⟨cyclic trace words⟩; (3) Loday-Quillen-Tsygan primitivity selecting Tr f(φ_1,φ_2) as the primitive degree-zero cocycle in HC_•. Darboux naturality under Sp(2,C) selects J(z_i) = Tr φ_i.",probe (3) adjacent-swap machine-checked symbolically (PASS),Thm 7768 step (3) of 9-step proof (main.tex:7929-7945); Thm 8156 (centre exhaustion),trace is not chosen but forced — three independent mathematical constraints converge on the same J.
2,1,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,"Adjacent-swap exactness Tr(uφ_1φ_2v)-Tr(uφ_2φ_1v) = Q Tr(ψvu) with Qψ=[φ_1,φ_2]; finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); monomial bracket (probe 4).","PASS on probes (2), (3), (4); all machine-checked","Rmk 8107 probes (2), (3), (4) (main.tex:8114-8124)",trace identities are the operational test of forced-trace; vanishing of any signals an accidental downgrade.
3,3,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,"Trace map J(f) = Tr f(φ_1, φ_2) forced by three independent constraints: (1) adjacent-swap exactness Tr(uφ_1φ_2v)-Tr(uφ_2φ_1v) = Q Tr(ψvu), making J well-defined on the derived stack [μ⁻¹_der(0)/GL_N]; (2) Procesi-Razmyslov stable invariants C[Mat(N)^⊕2]^{GL_N} = ⟨cyclic trace words⟩; (3) Loday-Quillen-Tsygan primitivity selecting Tr f(φ_1,φ_2) as the primitive degree-zero cocycle in HC_•. Darboux naturality under Sp(2,C) selects J(z_i) = Tr φ_i.",probe (3) adjacent-swap machine-checked symbolically (PASS),Thm 7768 step (3) of 9-step proof (main.tex:7929-7945); Thm 8156 (centre exhaustion),trace is not chosen but forced — three independent mathematical constraints converge on the same J.
4,3,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,"Adjacent-swap exactness Tr(uφ_1φ_2v)-Tr(uφ_2φ_1v) = Q Tr(ψvu) with Qψ=[φ_1,φ_2]; finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); monomial bracket (probe 4).","PASS on probes (2), (3), (4); all machine-checked","Rmk 8107 probes (2), (3), (4) (main.tex:8114-8124)",trace identities are the operational test of forced-trace; vanishing of any signals an accidental downgrade.
5,4,Summary,Chiral E_d / global descent,T_KN/global,Upgrade,Critical,"A^cl_bulk ≃ Z^der_{E_2^HT}(C^op_∂) on Kato-Nakayama log boundary ∂X^KN ⟺ Ob^global = Ob^chE_2_Deligne ⊕ Ob^desc_KN ⊕ Ob^all-loop_QME = 0. Components: (a) Ob^chE_2_Deligne = obstruction to extending K^(2)_Δ to a chiral E_2-operad on all arities (open at d≥2); (b) Ob^desc_KN = [d_2] ∈ H²(∂X^KN, Hom^{-1}(H^•, H^•)); (c) Ob^all-loop_QME = all-loop Costello renormalisation-group obstruction. Each component vanishes on a formal-Darboux polydisk.",probe (10) [d_2] class; DEFERRED to cohomological proof (full descent spectral sequence machinery),Thm 8323 (main.tex:8323); Rmk on local trivialisation (main.tex:8386),global identification is exactly obstruction-vanishing; local theorem is its formal-Darboux stalk.
6,4,Summary,Chiral E_d / global descent,T_KN/global,Verification probe,Critical,"Global descent first obstruction [d_2] ∈ H²(∂X^KN, Hom^{-1}(H^•, H^•)) from the d_2-differential of the descent spectral sequence on the log-étale cover trivialising local Darboux data.",DEFERRED — cohomological computation on Kato-Nakayama log boundary; inscribed at Thm 8323 (main.tex:8145-8149),Rmk 8107 probe (10); Thm 8323,the global probe is the d_2-class of a descent spectral sequence; vanishing is automatic on contractible neighbourhoods.
7,5,Summary,Chiral E_d / global descent,T_KN/global,Upgrade,Critical,"A^cl_bulk ≃ Z^der_{E_2^HT}(C^op_∂) on Kato-Nakayama log boundary ∂X^KN ⟺ Ob^global = Ob^chE_2_Deligne ⊕ Ob^desc_KN ⊕ Ob^all-loop_QME = 0. Components: (a) Ob^chE_2_Deligne = obstruction to extending K^(2)_Δ to a chiral E_2-operad on all arities (open at d≥2); (b) Ob^desc_KN = [d_2] ∈ H²(∂X^KN, Hom^{-1}(H^•, H^•)); (c) Ob^all-loop_QME = all-loop Costello renormalisation-group obstruction. Each component vanishes on a formal-Darboux polydisk.",probe (10) [d_2] class; DEFERRED to cohomological proof (full descent spectral sequence machinery),Thm 8323 (main.tex:8323); Rmk on local trivialisation (main.tex:8386),global identification is exactly obstruction-vanishing; local theorem is its formal-Darboux stalk.
8,5,Summary,Chiral E_d / global descent,T_KN/global,Verification probe,Critical,"Global descent first obstruction [d_2] ∈ H²(∂X^KN, Hom^{-1}(H^•, H^•)) from the d_2-differential of the descent spectral sequence on the log-étale cover trivialising local Darboux data.",DEFERRED — cohomological computation on Kato-Nakayama log boundary; inscribed at Thm 8323 (main.tex:8145-8149),Rmk 8107 probe (10); Thm 8323,the global probe is the d_2-class of a descent spectral sequence; vanishing is automatic on contractible neighbourhoods.
9,6,Summary,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,"Trace map J(f) = Tr f(φ_1, φ_2) forced by three independent constraints: (1) adjacent-swap exactness Tr(uφ_1φ_2v)-Tr(uφ_2φ_1v) = Q Tr(ψvu), making J well-defined on the derived stack [μ⁻¹_der(0)/GL_N]; (2) Procesi-Razmyslov stable invariants C[Mat(N)^⊕2]^{GL_N} = ⟨cyclic trace words⟩; (3) Loday-Quillen-Tsygan primitivity selecting Tr f(φ_1,φ_2) as the primitive degree-zero cocycle in HC_•. Darboux naturality under Sp(2,C) selects J(z_i) = Tr φ_i.",probe (3) adjacent-swap machine-checked symbolically (PASS),Thm 7768 step (3) of 9-step proof (main.tex:7929-7945); Thm 8156 (centre exhaustion),trace is not chosen but forced — three independent mathematical constraints converge on the same J.
10,6,Summary,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,"Adjacent-swap exactness Tr(uφ_1φ_2v)-Tr(uφ_2φ_1v) = Q Tr(ψvu) with Qψ=[φ_1,φ_2]; finite-N trace bracket {Tr φ_1, Tr φ_2} = N (probe 2); monomial bracket (probe 4).","PASS on probes (2), (3), (4); all machine-checked","Rmk 8107 probes (2), (3), (4) (main.tex:8114-8124)",trace identities are the operational test of forced-trace; vanishing of any signals an accidental downgrade.
