ID,Page,Section heading,Category,Theorem level,Finding type,Severity,Status,Verification reference,Notes,Surrounding text quote (truncated),Issue / improvement,Strongest upgrade construction,Verification / consistency probe
1,1,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,verified,"Thm \ref{thm:main-local} (main.tex:7768): A^cl_bulk|_b ≃ Z^{der,adm}_{E_1}(A^cl_∂,N) ≃ HH^•_adm(A^cl_∂,N, A^cl_∂,N); Def \ref{defn:admissible-hochschild-centre-lift} centrality homotopies; Thm \ref{thm:protected-summand-exhausts} (main.tex:8156)","Derived E_1-centre = adm Hochschild cohomology, generators (J(f),θ_f,K)","Local Mixed Holomorphic-Topological String Field Theory Remarks on Mixed Holomorphic-Topological Strings Formal Local Hamiltonian BF Theory, Reduced CE/PV Central Operations, and the Trace Chart at 𝑁Dirac Branes on ℝ2 to","Make the trace map forced rather than chosen: Dirac/Koszul descent, primitive trace generation, and Darboux naturality should all be visible.",Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
2,1,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (8): [Phi_N(x),a]_G=dH^prod_{x,a} and {Phi_N(x),a}_{P_0}=dH^{P_0}_{x,a}",Hochschild centrality probe at main.tex:8137-8141,"Local Mixed Holomorphic-Topological String Field Theory Remarks on Mixed Holomorphic-Topological Strings Formal Local Hamiltonian BF Theory, Reduced CE/PV Central Operations, and the Trace Chart at 𝑁Dirac Branes on ℝ2 to",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
3,3,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,verified,"Thm \ref{thm:main-local} (main.tex:7768): A^cl_bulk|_b ≃ Z^{der,adm}_{E_1}(A^cl_∂,N) ≃ HH^•_adm(A^cl_∂,N, A^cl_∂,N); Def \ref{defn:admissible-hochschild-centre-lift} centrality homotopies; Thm \ref{thm:protected-summand-exhausts} (main.tex:8156)","Derived E_1-centre = adm Hochschild cohomology, generators (J(f),θ_f,K)","ial 𝑄𝜓= [𝜙1, 𝜙2]. A closed Hamiltonian 𝑓∈𝔥acts on this brane sector through the trace map 𝐽: 𝔥−→O 𝜇−1 der(0) 𝐺𝐿𝑁, 𝐽(𝑓) = Tr 𝑓(𝜙1, 𝜙2), the unique 𝐺𝐿𝑁-equivariant, primitive, single-trace, Darboux-natural expression of 𝑓o","Make the trace map forced rather than chosen: Dirac/Koszul descent, primitive trace generation, and Darboux naturality should all be visible.",Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
4,3,Front matter,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (8): [Phi_N(x),a]_G=dH^prod_{x,a} and {Phi_N(x),a}_{P_0}=dH^{P_0}_{x,a}",Hochschild centrality probe at main.tex:8137-8141,"ial 𝑄𝜓= [𝜙1, 𝜙2]. A closed Hamiltonian 𝑓∈𝔥acts on this brane sector through the trace map 𝐽: 𝔥−→O 𝜇−1 der(0) 𝐺𝐿𝑁, 𝐽(𝑓) = Tr 𝑓(𝜙1, 𝜙2), the unique 𝐺𝐿𝑁-equivariant, primitive, single-trace, Darboux-natural expression of 𝑓o",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
5,4,Summary,Chiral E_d / global descent,T_KN/global,Upgrade,Critical,verified,Thm \ref{thm:main-global-conditional} (main.tex:8323): A^cl_bulk ≃ Z^{der}_{E_2^HT}(C^op_∂) ⟺ Ob^global=Ob^chE2_Deligne ⊕ Ob^KN_desc ⊕ Ob^all-loop_QME = 0; Rmk on local trivialisation (main.tex:8386),Global as exact obstruction-vanishing theorem; chiral E_d-Deligne open at d≥2,"obstruction Obglobal = Obch 𝐸2 Deligne ⊕Obdesc KN ⊕ObQME all-loop vanishes; the chiral 𝐸𝑑-Deligne conjecture at 𝑑≥2, the operator- level lift of the modular line on 𝐾3 × 𝐸,and the Hall–Drinfeld–Borcherds comparison on co",Do not let the formal-Darboux stalk masquerade as the global theorem; strengthen globality by naming the complete obstruction vector.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
6,4,Summary,Chiral E_d / global descent,T_KN/global,Verification probe,Critical,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (10): [d_2]∈H^2(∂X^KN, Hom^{-1}(H^•,H^•)); plus Thm \ref{thm:main-global-conditional} (main.tex:8323) Ob^global=Ob^chE2⊕Ob^KN_desc⊕Ob^all-loop_QME = 0",Global descent probe at main.tex:8145-8149,"obstruction Obglobal = Obch 𝐸2 Deligne ⊕Obdesc KN ⊕ObQME all-loop vanishes; the chiral 𝐸𝑑-Deligne conjecture at 𝑑≥2, the operator- level lift of the modular line on 𝐾3 × 𝐸,and the Hall–Drinfeld–Borcherds comparison on co",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
7,5,Summary,Chiral E_d / global descent,T_KN/global,Upgrade,Critical,verified,Thm \ref{thm:main-global-conditional} (main.tex:8323): A^cl_bulk ≃ Z^{der}_{E_2^HT}(C^op_∂) ⟺ Ob^global=Ob^chE2_Deligne ⊕ Ob^KN_desc ⊕ Ob^all-loop_QME = 0; Rmk on local trivialisation (main.tex:8386),Global as exact obstruction-vanishing theorem; chiral E_d-Deligne open at d≥2,e Mixed Holomorphic–Topological Deligne conjecture identifies Acl bulk with the chiral derived 𝐸2- centre of the boundary open factorisation category Cop 𝜕on the Kato–Nakayama log boundary 𝜕𝑋KN — the two-complex-dimensio,Do not let the formal-Darboux stalk masquerade as the global theorem; strengthen globality by naming the complete obstruction vector.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
8,5,Summary,Chiral E_d / global descent,T_KN/global,Verification probe,Critical,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (10): [d_2]∈H^2(∂X^KN, Hom^{-1}(H^•,H^•)); plus Thm \ref{thm:main-global-conditional} (main.tex:8323) Ob^global=Ob^chE2⊕Ob^KN_desc⊕Ob^all-loop_QME = 0",Global descent probe at main.tex:8145-8149,e Mixed Holomorphic–Topological Deligne conjecture identifies Acl bulk with the chiral derived 𝐸2- centre of the boundary open factorisation category Cop 𝜕on the Kato–Nakayama log boundary 𝜕𝑋KN — the two-complex-dimensio,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
9,6,Summary,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,verified,"Thm \ref{thm:main-local} (main.tex:7768): A^cl_bulk|_b ≃ Z^{der,adm}_{E_1}(A^cl_∂,N) ≃ HH^•_adm(A^cl_∂,N, A^cl_∂,N); Def \ref{defn:admissible-hochschild-centre-lift} centrality homotopies; Thm \ref{thm:protected-summand-exhausts} (main.tex:8156)","Derived E_1-centre = adm Hochschild cohomology, generators (J(f),θ_f,K)","or renormalised quantisation. Costello deformation cohomology of 𝐼[𝐿] is the obstruction theory governing the closed-to-open coupling Φ𝑁(Theorem 1.24); its reduced non- scalar obstruction is the class [Obred 𝑤,𝜕,ℏ] (Theo","Make the trace map forced rather than chosen: Dirac/Koszul descent, primitive trace generation, and Darboux naturality should all be visible.",Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
10,6,Summary,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (8): [Phi_N(x),a]_G=dH^prod_{x,a} and {Phi_N(x),a}_{P_0}=dH^{P_0}_{x,a}",Hochschild centrality probe at main.tex:8137-8141,"or renormalised quantisation. Costello deformation cohomology of 𝐼[𝐿] is the obstruction theory governing the closed-to-open coupling Φ𝑁(Theorem 1.24); its reduced non- scalar obstruction is the class [Obred 𝑤,𝜕,ℏ] (Theo",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
